,bias,treshold,mu_p_ask,mu_p_answer,mu_p_upvote,mu_p_active
0,"[1017713, 1022248, 1032669, 1010087, 1020797, 1025261, 1023534, 1019757, 1025279, 1013919]","[318934, 309846, 308499, 304528, 313361, 308945, 314761, 308516, 314367, 303854]","[109809, 109259, 101093, 101984, 110872, 97712, 110152, 105052, 103687, 104552]","[218263, 209266, 200183, 199859, 194730, 220150, 200841, 206001, 205152, 213182]","[66532, 57885, 58183, 58527, 57256, 58339, 61262, 56994, 57597, 65857]","[39990, 40209, 40015, 39146, 40655, 40880, 40502, 39782, 39695, 40064]"
1,"[873717, 896600, 890565, 900175, 884706, 883969, 885266, 888990, 898857, 892340]","[254584, 247932, 245390, 246435, 233841, 245190, 251111, 258800, 254724, 245100]","[129255, 123261, 113316, 118125, 115870, 116788, 125831, 119979, 119712, 119453]","[218206, 213509, 217634, 206796, 199137, 196797, 216555, 224080, 217470, 194169]","[74498, 83728, 73542, 64597, 64127, 69096, 59505, 77292, 68141, 72025]","[43043, 42936, 43982, 43199, 42408, 43115, 44206, 42613, 42972, 42712]"
2,"[608979, 633246, 605119, 622867, 612291, 610178, 622278, 619311, 629008, 620130]","[239661, 242634, 261615, 247072, 242333, 264228, 241182, 252014, 242063, 248865]","[138100, 146166, 137471, 137810, 133368, 134759, 130506, 138477, 133225, 134938]","[221033, 226417, 215730, 213511, 222798, 223893, 215234, 219823, 212799, 239047]","[94174, 84561, 79929, 79968, 86647, 77098, 91230, 79655, 77966, 85545]","[46604, 56074, 49571, 48611, 65506, 48333, 49627, 60433, 53117, 53542]"
3,"[408445, 402953, 389436, 388233, 424230, 413926, 394188, 398224, 409890, 406317]","[258213, 246442, 246437, 265962, 240259, 238264, 256015, 254215, 251513, 240426]","[150343, 150032, 166286, 149131, 154423, 149019, 154523, 150507, 153617, 162967]","[230162, 231179, 217987, 232532, 225097, 228092, 227015, 219908, 237653, 217690]","[91353, 104861, 127829, 91818, 107244, 109812, 115751, 107926, 103399, 98944]","[88041, 87705, 82322, 94929, 95189, 75121, 91790, 82537, 82056, 89720]"
4,"[274984, 276326, 282066, 263424, 284905, 280918, 277973, 283519, 283325, 288654]","[251003, 248176, 265622, 248100, 247665, 253711, 249366, 265433, 253646, 235598]","[178315, 179618, 170679, 179914, 178140, 173265, 175996, 173505, 177288, 184264]","[231263, 219382, 237335, 235133, 242487, 232147, 222604, 234791, 225419, 214895]","[155290, 154801, 143984, 120628, 138657, 138834, 130321, 149887, 139974, 130550]","[119545, 92607, 118988, 113534, 104677, 105967, 107317, 118253, 101351, 109237]"
5,"[176275, 195646, 187239, 180069, 182419, 174860, 174876, 188246, 185046, 184453]","[234064, 254767, 235964, 249652, 228326, 245174, 248212, 242658, 239581, 235659]","[197042, 193395, 204047, 199067, 195814, 196701, 195631, 192872, 199320, 208496]","[222929, 244852, 223607, 229454, 235600, 249167, 224387, 223222, 238130, 240185]","[181551, 186271, 168481, 170984, 164433, 166886, 170183, 174087, 156348, 151740]","[168610, 153353, 150995, 147358, 160129, 127889, 135378, 154595, 174680, 181143]"
6,"[123351, 132395, 129083, 128442, 118254, 121963, 116123, 126563, 121077, 115673]","[236017, 236879, 219364, 227455, 230731, 234424, 244755, 224207, 231455, 247936]","[227982, 221635, 199106, 226448, 217539, 215934, 216725, 222782, 218499, 210069]","[244228, 227372, 250025, 246542, 245633, 245612, 239340, 237293, 237790, 243729]","[197378, 202756, 209705, 197293, 198322, 203199, 208222, 219900, 214108, 215162]","[211685, 202960, 188294, 190832, 176389, 202795, 183158, 191967, 186261, 216142]"
7,"[93758, 92750, 91355, 88335, 88837, 95844, 83868, 89541, 89987, 94761]","[226686, 239045, 234847, 237625, 229634, 237892, 219793, 231966, 239650, 227638]","[235719, 238037, 229194, 244607, 244189, 228536, 232319, 239595, 236087, 247883]","[249277, 254799, 249669, 250886, 228229, 241492, 240511, 236179, 240985, 244597]","[259940, 254342, 237175, 236693, 234271, 247929, 236655, 239760, 253272, 238013]","[231887, 253264, 247867, 242950, 246947, 230916, 247759, 248003, 238473, 229916]"
8,"[83749, 86126, 86943, 71822, 76972, 69989, 67746, 77590, 76043, 76787]","[214588, 220202, 228219, 228784, 219844, 216069, 215291, 233655, 223374, 235899]","[264859, 266788, 279561, 284826, 259987, 272306, 274507, 261949, 269480, 262282]","[254758, 226689, 237090, 246126, 256231, 238593, 251100, 242568, 242150, 250460]","[273810, 263784, 272147, 255076, 254885, 274128, 272647, 264083, 260142, 269267]","[280062, 265666, 294785, 285558, 275386, 270576, 268316, 283234, 263216, 274515]"
9,"[66131, 63271, 61137, 60537, 61364, 61131, 61373, 65938, 67427, 67409]","[220839, 217315, 223208, 219491, 218122, 221057, 219746, 214649, 211128, 223945]","[280762, 275217, 282765, 273695, 273947, 284415, 292427, 291468, 280334, 274680]","[256555, 243314, 240926, 255674, 248145, 246395, 262033, 247529, 246571, 248574]","[299101, 310633, 300121, 297996, 291260, 312015, 305233, 307549, 304822, 296015]","[312918, 310679, 308566, 302710, 313003, 286200, 306594, 302877, 315116, 304626]"
10,"[56825, 59089, 56547, 57765, 58125, 56987, 61805, 57347, 56562, 60675]","[210563, 236938, 212834, 217989, 227000, 208346, 229815, 206794, 222197, 213664]","[296347, 300148, 304830, 300930, 315178, 314083, 315365, 295992, 303579, 280134]","[258001, 250879, 248791, 243912, 255975, 261435, 229248, 251782, 249690, 256934]","[311046, 323261, 322365, 324169, 324710, 333095, 328240, 329250, 321614, 314783]","[325517, 322551, 325883, 316412, 317465, 318081, 325336, 329764, 320757, 319567]"
11,"[55934, 58587, 56153, 56799, 57075, 56385, 57014, 55806, 57639, 58775]","[214646, 200829, 212643, 205254, 225237, 234755, 224626, 231389, 213821, 219478]","[310976, 336369, 309631, 317498, 321892, 299700, 342493, 300044, 337650, 326906]","[240830, 253322, 238454, 248090, 251929, 238794, 239212, 250193, 240968, 251726]","[340661, 349117, 335953, 338877, 333839, 353629, 334485, 343127, 335942, 344539]","[334678, 354151, 345601, 342097, 342061, 339305, 339617, 346531, 343283, 346837]"
12,"[55139, 55927, 56919, 56347, 57190, 55057, 55868, 55913, 56037, 56066]","[189602, 191666, 191937, 201694, 189563, 191207, 192871, 173652, 184620, 182722]","[337397, 348028, 312316, 313913, 326735, 326123, 308511, 337199, 338145, 324829]","[254253, 249241, 259883, 268264, 232844, 238920, 263639, 246391, 244954, 254863]","[364032, 354823, 362537, 351539, 360390, 360614, 362427, 356208, 363017, 350124]","[363452, 366279, 357356, 367896, 366723, 366473, 372893, 360732, 356976, 361185]"
13,"[57752, 55838, 56981, 56884, 54711, 55513, 55762, 55404, 56173, 56161]","[164781, 173560, 198452, 182034, 187070, 184005, 188843, 188339, 190924, 190664]","[350335, 343971, 347604, 340491, 357805, 361127, 343951, 344092, 327295, 346824]","[233194, 241418, 256834, 245878, 255212, 244686, 250332, 234119, 219818, 248943]","[380363, 368137, 364956, 375006, 373090, 386294, 371534, 382480, 378817, 380278]","[373898, 358704, 371987, 361789, 365847, 375360, 362209, 370920, 374043, 370106]"
14,"[56123, 56830, 55418, 56259, 55132, 56602, 56208, 56364, 56704, 56392]","[173616, 198060, 176065, 184460, 181323, 191436, 176377, 189094, 183394, 176251]","[376902, 363444, 335054, 362433, 318976, 365012, 356700, 351701, 345009, 355897]","[249012, 244857, 248624, 242309, 239685, 240375, 246558, 223093, 236773, 238176]","[397250, 389853, 392801, 394586, 387099, 387212, 396453, 384136, 392434, 386216]","[385241, 383343, 381056, 394480, 379439, 376954, 381786, 384597, 384766, 371331]"
